first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
GRZEGORZ,Włodarczyk,MA-146894-2018,2018-08-27,6151.200000000001 ZŁ ,,
Franciszek,Maciejewski  ,sp/494627/2012,,5333.295000000001 zł,SPRZEDAŻ,1
Jacek,Jasiński,ka/685993/2010,2010-06-10T00:00:00,3410.6200000000003 ZŁ,KADRY,Nie
Cecylia,Grabowska,CZ/248946/2014,2014-10-27,3336.5 ZŁ,CZYSTOŚĆ ,NIE
Paweł,Szymański,sp/397651/2018,2018-05-19,4519.35 pln,SPRZEDAŻ,Prawda
KRYSTYNA,Jabłońska,SP/539735/2017,2017/01/04,4995.0 PLN,SPRZEDAŻ,nie ma
Emilia ,Wojciechowska,MA/391182/2016 ,2016/01/20,4396.8 ZŁ ,MARKETING,Nie
Henryk,Chmielewski,ma/979022/2014,2014/04/10,4567.024 pln,MARKETING,TAK
LUDWIK,piotrowski,KS-731782-2010,2010-09-18,5544.6 ZŁ,KSIĘGOWOŚĆ  ,Nie
Halina,PAWŁOWSKA,MA/477132/2017,2017-12-20T00:00:00,3711.4880000000007 ZŁ,MARKETING,true
Łucja ,Wojciechowska,SP/905823/2012,2012/03/21,4504.5 ZŁ,SPRZEDAŻ ,False
Alfreda,Jankowska,cz/891481/2013,2013-12-31,"2 784,7 ZŁ",CZYSTOŚĆ,0
Róża,Wieczorek,SP/642838/2018,2018/02/08,4784.85 PLN,SPRZEDAŻ,nie
RÓŻA,Majewska,MA/618440/2010,2010-01-11,5145.6 zł,MARKETING ,FAŁSZ
Michalina,Stępień,KS/922768/2013,2013-11-11,"6 329,400000000001 złotych",KSIĘGOWOŚĆ,ma
Władysława,Jasińska,SP/249691/2011,2011/10/23,4800.6 PLN,SPRZEDAŻ,
BOGUSŁAW ,Gajewski,SP/624360/2013  ,2013/08/03,"4 344,450000000001 ZŁ",SPRZEDAŻ,1
Alfred,Górski,KA_547801_2013,2013-12-31,"5 066,95 PLN",KADRY,0
Lucjan,Krupa,ka/544772/2014,2014-05-30T00:00:00,4248.395 zł,KADRY,FAŁSZ
Elżbieta,Nowakowska,OC.765140.2013,2013-08-03,2397.4500000000003 zł,OCHRONA,
EDYTA,górska,SP/800343/2012,2012/06/29,4317.0 PLN,SPRZEDAŻ  ,nie ma
Jolanta,Wiśniewska ,ks/578532/2011,2011-02-15,6426.0 ZŁ,KSIĘGOWOŚĆ,Nie
Michalina,Król,MA.484214.2014,2014-04-10,5454.240000000001 ZŁ,MARKETING,Prawda
władysław ,Sadowski,MA/442450/2015,2015-03-26,4727.360000000001 pln,MARKETING,True
Bogdan,Sawicki,lo/570357/2013,2013-04-25 ,3411.585 złotych,LOGISTYKA,False
KATARZYNA,Majewska,MA-191760-2012,2012-05-10T00:00:00,5227.200000000001 ZŁ,MARKETING,PRAWDA
Wiesława  ,Witkowska,SP/492417/2010,2010-03-02,"3 706,2000000000003 ZŁ",SPRZEDAŻ,nie
Wiesława,rutkowska,KS.121462.2011  ,,5430.0 PLN,KSIĘGOWOŚĆ,false
Rozalia,nowak  ,OC_801899_2010,2010-06-10,2807.2000000000003 pln,OCHRONA,PRAWDA
henryka,Górska,SP.575287.2017,2017-07-23,3560.7000000000003 ZŁ,SPRZEDAŻ,Tak
Rafał,,MA/398532/2009,2009-08-14,3383.6800000000003 pln,MARKETING,nie ma
KAROLINA,wieczorek ,CZ-549198-2017 ,2017-12-20,2703.8 pln,CZYSTOŚĆ,nie
Marcin,Sikorski,SP/771068/2012,2012/06/29,"3 576,0 pln  ",SPRZEDAŻ,False 
zbigniew,Piotrowski,KS/942203/2010,2010-03-02T00:00:00,6282.0 PLN,KSIĘGOWOŚĆ,NIE MA
Krzysztof,Urbański ,lo/777511/2017,2017-09-11,"4 615,650000000001 PLN",LOGISTYKA,nie
Leon,Nowak,sp/216735/2014,2014-07-19,3811.5 złotych,SPRZEDAŻ,0
Justyna,Pawlak,SP/381625/2015,2015-03-26,5292.210000000001 zł,SPRZEDAŻ,Prawda
Wacław,Bąk,SP/170318/2017,2017-07-23,4655.25 złotych,SPRZEDAŻ,false
Gertruda,Grabowska,MA/373975/2013,2013-01-15T00:00:00,4607.68 zł,MARKETING,ma
Czesław,Dąbrowski ,CZ/879588/2009,2009/06/25,2755.5 zł,CZYSTOŚĆ,Prawda
Marianna,Woźniak,SP/148843/2015,2015-08-23,3388.6499999999996 złotych,,0
Eugeniusz,Zakrzewski,KS/677925/2014,2014-05-30,"7 411,8 ZŁ   ",KSIĘGOWOŚĆ,true
Eleonora,WIŚNIEWSKA,KA/787512/2015,2015-02-04T00:00:00,4535.3 pln,KADRY  ,nie ma
iwona,Kowalska,KS/785454/2016,2016/08/07 ,5481.3 zł,KSIĘGOWOŚĆ,Tak
ALINA,Pietrzak,KA/646681/2013,2013-09-22,4499.650000000001 zł,KADRY,NIE
Grzegorz,włodarczyk,cz/307216/2011,2011/02/15,2144.0 złotych,CZYSTOŚĆ,FAŁSZ
Jerzy,Kaźmierczak,CZ_970861_2015,2015-05-15T00:00:00,2802.0 pln  ,CZYSTOŚĆ,FAŁSZ
ADELA,Wieczorek,MA/802128/2017,2017-06-03T00:00:00,5412.0 zł,MARKETING,MA
Adela,Kaczmarek ,KA/245087/2015,2015/03/26,4794.150000000001 złotych,KADRY,nie  
Mirosław,Lis,MA/238524/2017,2017-09-11 ,5195.52 pln,MARKETING  ,PRAWDA
Bogusław ,Krupa ,SP/112369/2016,2016-04-29,"5 217,9 pln",SPRZEDAŻ ,Fałsz
Grzegorz,Sawicki,SP.557973.2018,2018-08-27,"3 859,185000000001 PLN  ",SPRZEDAŻ,1
Anna,WOJCIECHOWSKA ,MA-425318-2014,2014/02/19,"4 921,6 ZŁ",MARKETING,FAŁSZ
gertruda  ,Michalak,LO/909431/2012,2012-03-21T00:00:00,"3 166,0200000000004 ZŁ",LOGISTYKA,1
ludwika,Lewandowska,KS/153299/2016,2016-03-10,"6 566,4 PLN",KSIĘGOWOŚĆ,nie    
Anna,wójcik,KS_224551_2015,2015-02-04,4818.0 ZŁ,KSIĘGOWOŚĆ,Fałsz
paweł,nowicki,LO/113278/2010,2010-11-07T00:00:00,4299.75 PLN,LOGISTYKA,nie ma
Krzysztof,Kubiak,KS/773766/2009,2009/10/03,5426.4 PLN,KSIĘGOWOŚĆ,FAŁSZ
Adela,piotrowska,LO_586467_2018,2018/03/30,"4 367,385000000001 PLN",LOGISTYKA,MA
ALFRED,Borkowski,KS/642636/2017,2017-04-14T00:00:00,"4 696,8 złotych",KSIĘGOWOŚĆ,nie ma
henryka,Nowicka,lo/264399/2013,2013-08-03,"3 986,55 złotych",LOGISTYKA,NIE MA
,Mazurek,ma/176212/2015,2015-02-04T00:00:00,3369.6000000000004 pln,MARKETING  ,False
Lucyna,Kowalska ,CZ.462778.2011,2011-09-03,"3 296,7000000000003 PLN",CZYSTOŚĆ,MA
Andrzej,Włodarczyk,ma/193459/2017 ,2017-01-04,5112.624000000001 zł,MARKETING,TAK 
Natalia,Dąbrowska,CZ/220176/2017,2017-09-11,"3 499,1000000000004 pln",CZYSTOŚĆ,Tak 
,WALCZAK,LO.136259.2009,2009-08-14,4422.6 ZŁ,LOGISTYKA,NIE 
Eleonora,Lewandowska,ks/378151/2010,2010-07-30,6624.200000000001 ZŁ,KSIĘGOWOŚĆ,Prawda
Zdzisława,Walczak,SP/613196/2013,2013-01-15,4604.49 zł,SPRZEDAŻ,True
Aleksander,Wróblewski ,MA/467667/2016,2016-04-29,3938.8800000000006 ZŁ,MARKETING,MA
ZDZISŁAW,szewczyk,SP/857562/2009,2009-06-25T00:00:00,"3 460,7999999999997 PLN",SPRZEDAŻ,false
Bogusław ,Głowacki,cz/318591/2015,2015-12-01,2413.0 zł,CZYSTOŚĆ,nie
ZDZISŁAWA,Witkowska,KS/129450/2015,2015-12-01,5232.2 złotych,KSIĘGOWOŚĆ,NIE MA
ELŻBIETA,Dąbrowska,SP/597699/2016,2016-01-20,"4 967,655 pln",SPRZEDAŻ,true
Urszula ,kwiatkowska,LO-397526-2016,2016-03-10,4248.990000000001 PLN,LOGISTYKA ,Fałsz
Barbara,kamińska,lo/981527/2012,2012/10/07,"4 933,170000000001 pln",LOGISTYKA,PRAWDA
ewa,Król  ,MA/950436/2010,2010-12-27,3364.8 ZŁ,MARKETING,nie ma
,Duda,CZ/840383/2016,2016-06-18,2383.4 pln,CZYSTOŚĆ,FAŁSZ
leon,Jaworski,OC/816940/2009,2009/11/22,3287.02 złotych,OCHRONA,Fałsz
Alicja,Kaczmarek  ,LO/532110/2013,2013-04-25,"4 649,805 zł",LOGISTYKA,False
Aniela,KACZMAREK,ks/679566/2014,2014/04/10,4826.0 ZŁ,KSIĘGOWOŚĆ,False
Honorata,Kwiatkowska,MA/146222/2010,2010-03-02T00:00:00,"5 715,776000000001 pln",MARKETING,tak
Alfred ,Jankowski,KA/741468/2014,2014/05/30,"4 866,6900000000005 PLN",KADRY  ,false
Rafał,KRAWCZYK,SP/652074/2017,2017-01-04,3585.615 pln,SPRZEDAŻ,PRAWDA
Sylwester,Sadowski,LO/872150/2013,2013-12-31,"3 163,995 pln",LOGISTYKA,
Lech ,Pawłowski,SP/390554/2012,2012/01/31,4501.5 zł,SPRZEDAŻ,Fałsz
Ludwika,Olszewska,LO_621609_2013 ,2013-12-31T00:00:00  ,4514.400000000001 zł,LOGISTYKA,nie
,Duda,SP-659090-2010,2010-11-07T00:00:00,4476.9 ZŁ,SPRZEDAŻ,False
Włodzimierz,JAKUBOWSKI,LO/428654/2012,2012-05-10,"4 059,4500000000003 PLN",LOGISTYKA,Nie
Zofia,Rutkowska,SP/557954/2011  ,2011/09/03,4370.700000000001 zł,SPRZEDAŻ,0
Daniela,Tomaszewska,ks/861545/2018,2018-03-30T00:00:00,4236.0 ZŁ,KSIĘGOWOŚĆ,nie
Waldemar,Zieliński,LO/530945/2010,2010/11/07,3412.5300000000007 ZŁ,LOGISTYKA,MA 
Agnieszka,Kaczmarek     ,CZ.268023.2010,2010-07-30T00:00:00,2283.0 pln,CZYSTOŚĆ,NIE MA
Beata,Dąbrowska,MA/831876/2017,2017/10/31,4472.0 ZŁ,MARKETING,false
,Ziółkowski,KA/993859/2012,2012-06-29,5779.950000000001 złotych,KADRY  ,ma
Stanisława,stępień,sp/384648/2013,,4371.0 zł,SPRZEDAŻ ,Nie 
Antoni,,LO/797435/2015,2015-08-23,3837.7800000000007 zł,LOGISTYKA,nie ma
Aleksandra,Zając,MA/191782/2015,2015-10-12,4619.2 pln,MARKETING,False
Bogusław,LASKOWSKI,SP/273180/2013,2013-06-14,4444.049999999999 zł,,NIE MA
Sławomir,Ziółkowski,CZ/923580/2018,2018/05/19,"2 556,2900000000004 PLN",CZYSTOŚĆ,True
Marcin,Zawadzki,MA/673341/2015,2015/02/04,4129.6 pln  ,MARKETING,False 
GABRIELA,wojciechowska ,ks/114063/2016,2016-06-18,5160.9800000000005 złotych,KSIĘGOWOŚĆ,tak
Franciszek,PAWŁOWSKI,SP/623484/2014,2014-04-10,3667.0499999999997 złotych,SPRZEDAŻ ,false 
,Szewczyk,MA-819387-2013,2013-09-22T00:00:00 ,3841.552 ZŁ,MARKETING,Prawda
Aneta,Jabłońska,CZ/218980/2014,2014-12-16T00:00:00,3798.3 pln,CZYSTOŚĆ,Tak
alfred,Dudek  ,KS_922387_2014,2014-04-10  ,4691.4 zł ,KSIĘGOWOŚĆ,NIE
Jerzy,dąbrowski,oc/966551/2012,2012/08/18,3665.2000000000003 PLN,OCHRONA,FAŁSZ
,Dudek,MA/466587/2015  ,2015-03-26,"5 096,0 PLN",MARKETING,0
gabriela,,KS/885980/2014,2014-04-10,6630.8 PLN ,KSIĘGOWOŚĆ,Tak 
Wiesław,JAKUBOWSKI,KA/814930/2015,2015-02-04,"4 381,85 złotych",KADRY,Prawda   
Tadeusz,Sikorski,KA/402364/2011,2011-05-26,4975.5 pln,KADRY ,Nie
JÓZEFA,Nowicka,OC/647120/2010,2010-06-10T00:00:00,"2 888,6000000000004 złotych",OCHRONA,nie
Władysław,Wróbel  ,SP/886447/2016,2016-11-15,4123.35 pln  ,SPRZEDAŻ,ma
Zenon,sawicki,OC-791679-2014,2014-12-16,3760.7900000000004 pln  ,OCHRONA,Fałsz
Marzena,Pawlak,MA/591501/2016,2016-01-20,5764.000000000001 złotych,MARKETING,True
Paweł,PAWLAK,KS.761011.2012,2012-08-18,"5 082,0 PLN",KSIĘGOWOŚĆ,Tak
Maria,Pawłowska,ma/164691/2012,2012-03-21T00:00:00,4094.4 ZŁ,MARKETING,nie ma
Mieczysław,MACIEJEWSKI,ka/247021/2010,2010-07-30,5511.4125 PLN,KADRY,PRAWDA
Roman,Szymański,ma/171895/2010,2010-12-27T00:00:00,4076.8 pln,MARKETING,False
Zenon,Kaczmarek,SP/864668/2011,2011/09/03,4123.950000000001 zł,,Nie
zdzisław ,Nowakowski,MA/258315/2018 ,2018-07-08T00:00:00,"5 512,0 pln ",MARKETING,False
Aneta,michalska,IT/955893/2010,2010/01/11,"8 116,075000000001 złotych",IT,TAK
Wiesław,Kucharski,MA/700283/2017,2017/01/04,4846.080000000001 zł,MARKETING,nie ma
alojzy,Jaworski,CZ/180505/2014,2014-09-07,2983.42 zł,CZYSTOŚĆ,PRAWDA
Jadwiga,Baran,KS.975410.2016,2016/04/29,5043.6 PLN ,KSIĘGOWOŚĆ,Nie
Sylwester  ,Sobczak,MA/439217/2016,  ,5017.76 złotych,MARKETING,NIE
Sabina  ,Wieczorek,MA.547201.2011,2011-09-03T00:00:00,3916.8 pln,MARKETING,NIE MA
Zdzisława,nowicka,ks/561258/2012,2012-06-29,5408.0 PLN,KSIĘGOWOŚĆ,nie ma
Gertruda  ,Kowalska,LO/807733/2010,2010-12-27,4616.4195 pln ,LOGISTYKA,tak
Katarzyna,majewska,MA/112497/2012,2012-08-18,4765.376 ZŁ,MARKETING ,tak
Wiesława,dąbrowska,LO/238411/2014,2014-02-19,3310.0650000000005 zł,LOGISTYKA,PRAWDA
Czesław,Szulc,LO/533728/2016,  ,5060.880000000001 PLN,LOGISTYKA,Prawda
,Woźniak,KS/966783/2015,2015-08-23T00:00:00,6438.0 złotych,KSIĘGOWOŚĆ ,False
FRANCISZKA,Wróbel ,ks/303934/2018,2018-07-08,4734.0 złotych,KSIĘGOWOŚĆ,nie
Aldona,Kozłowska,KA/268968/2013 ,2013-01-15,4587.6435 PLN,KADRY,1
Leszek,Zieliński ,oc/992912/2018,2018-05-19,2937.11 ZŁ,OCHRONA,0
Irena,Pawłowska,SP.770674.2010,2010-03-02T00:00:00,4182.75 zł,SPRZEDAŻ,PRAWDA
Dorota,szewczyk,OC-484028-2009,2009-06-25,3595.9990000000003 ZŁ,OCHRONA,Prawda
Leszek,Gajewski,ka/647168/2014,2014-04-10,5138.25 złotych ,KADRY,Nie
Piotr,Kozłowski,LO/154624/2018,2018-05-19 ,3564.0000000000005 ZŁ,LOGISTYKA,nie
Grzegorz,Krajewski,MA.459877.2018,2018-03-30,5163.68 pln,MARKETING,FAŁSZ
Marianna,Tomaszewska,KS.585310.2010 ,2010-01-11,4565.8 PLN,KSIĘGOWOŚĆ,NIE
Sabina,Jankowska,SP/268499/2018,2018-07-08,4399.5 pln,SPRZEDAŻ  ,Fałsz
Dariusz,król,KA/633058/2014 ,2014-05-30,5940.22 PLN,KADRY,TAK  
EDMUND,DUDEK,KA_427872_2013,2013-12-31,3904.295 zł,,nie ma
Artur,Kamiński,SP-818110-2017,2017-10-31,5124.0 zł,,NIE
Feliks,mazurek,lo/366941/2010  ,2010-09-18,4446.900000000001 ZŁ,LOGISTYKA  ,Fałsz
Marcin,Stępień,ka/450622/2013,2013-12-31T00:00:00 ,3602.2000000000003 PLN,KADRY,NIE
Roman,Tomaszewski,ma/648995/2011 ,2011/02/15 ,4150.400000000001 pln,MARKETING,FAŁSZ
Kazimierz  ,KAŹMIERCZAK,KS-154589-2015 ,2015-07-04T00:00:00,6359.0 złotych ,KSIĘGOWOŚĆ ,NIE
Krzysztof,Lewandowski,ZA/771358/2018  ,2018-08-27,"70 627,5 ZŁ",ZARZĄD,nie ma
FRANCISZEK,Sikora,ka/913037/2015,2015-08-23 ,3983.0505000000003 złotych,KADRY,true
Bronisław,wróbel,lo/904898/2015,2015-08-23,3152.25 zł,LOGISTYKA,0
Anna ,Kwiatkowska,SP/538016/2014,2014-12-16T00:00:00,3335.3999999999996 PLN,SPRZEDAŻ,NIE MA
Marek,włodarczyk,lo/674922/2015,2015-07-04T00:00:00,4284.900000000001 ZŁ,LOGISTYKA,NIE MA
bernadeta,,KS/388428/2010,2010-09-18,5210.0 zł,KSIĘGOWOŚĆ,nie ma
Agnieszka  ,Jasińska,KS/513307/2013,2013-11-11,4807.22 PLN,,PRAWDA
Leokadia,KOWALSKA,KA.541571.2011,2011-05-26 ,5900.664000000002 zł,KADRY,true
